,COUNTY,AQI,AVPM25,AVPM10,AVO3,AVCO,SO2,NO2,PM25,PM10,O3,CO
0,Changhua County,48.5,14.5,36.5,17.75,0.2,2.075,9.25,18.25,39.75,27.75,0.27749999999999997
1,Chiayi City,30.0,9.0,29.0,20.0,0.2,1.3,6.0,14.0,20.0,25.0,0.25
2,Chiayi County,45.5,13.5,31.5,21.5,0.2,0.95,7.5,12.0,22.0,27.5,0.285
3,Hsinchu City,33.0,7.0,16.0,25.0,0.2,1.3,20.0,11.0,14.0,22.0,0.47
4,Hsinchu County,23.0,7.0,20.0,17.0,0.2,0.1,11.0,7.0,16.0,17.0,0.28
5,Hualien County,33.0,9.0,15.0,36.0,0.2,0.4,8.0,10.0,17.0,30.0,0.34
6,Kaohsiung City,40.25,10.666666666666666,20.333333333333332,28.0,0.20833333333333334,0.8166666666666668,17.833333333333332,12.166666666666666,18.75,18.666666666666668,0.46416666666666667
7,Keelung City,28.0,8.0,19.0,18.0,0.2,1.3,17.0,6.0,21.0,14.0,0.39
8,Lienchiang County,48.0,23.0,33.0,32.0,0.3,0.9,6.0,26.0,32.0,32.0,0.4
9,Miaoli County,33.333333333333336,10.0,20.0,22.0,0.10000000000000002,3.8000000000000003,5.666666666666667,12.333333333333334,22.333333333333332,22.333333333333332,0.2733333333333333
10,Nantou County,27.333333333333332,7.666666666666667,27.0,12.333333333333334,0.20000000000000004,1.0999999999999999,5.0,10.0,27.666666666666668,18.0,0.5499999999999999
11,New Taipei City,41.81818181818182,9.727272727272727,16.90909090909091,27.0,0.29090909090909095,0.7090909090909091,20.363636363636363,12.727272727272727,20.90909090909091,18.0,0.6754545454545454
12,Penghu County,28.0,6.0,28.0,29.0,0.1,0.7,5.0,1.0,21.0,23.0,0.22
13,Pingtung County,33.0,8.333333333333334,19.333333333333332,24.333333333333332,0.16666666666666666,0.3333333333333333,4.666666666666667,10.333333333333334,17.666666666666668,22.666666666666668,0.2333333333333333
14,Taichung City,36.6,10.4,31.8,14.8,0.22000000000000003,1.5799999999999998,10.6,14.6,34.8,26.4,0.368
15,Tainan City,31.5,8.5,19.75,25.0,0.17500000000000002,0.8,8.0,9.5,17.0,23.5,0.3
16,Taipei City,42.166666666666664,8.666666666666666,14.833333333333334,29.5,0.26666666666666666,0.9666666666666667,22.666666666666668,11.0,21.166666666666668,13.833333333333334,0.6466666666666666
17,Taitung County,29.0,7.0,15.0,28.0,0.1,0.6,6.0,3.5,17.0,23.0,0.26
18,Taoyuan County,43.5,10.75,15.75,31.25,0.3,1.075,27.5,13.25,19.75,22.0,0.4975
19,Yilan County,34.5,10.0,24.5,18.5,0.15000000000000002,0.8,9.0,11.0,29.0,16.5,0.29000000000000004
20,Yunlin County,44.25,12.75,35.75,17.25,0.2,1.75,5.25,11.25,28.75,35.25,0.2575
